Node Number =  35749
  -84.57471       46.89564       40.65959    
  -84.60892       46.88772       16.87320    
  -84.64607       46.89366       17.90160    
  -84.67756       46.87593       25.99562    
  -84.70380       46.85820       35.31216    
  -84.73929       46.86749       102.9701    
  -84.77197       46.85252       92.33526    
  -84.42300       46.87072       17.32138    
  -84.45755       46.88577       3.034139    
  -84.46114       46.91159       28.94972    
  -84.39380       46.85681       39.69246    
  -84.80353       46.81093       58.05735    
  -84.79752       46.78461       111.5367    
  -84.81676       46.76524       55.35747    
  -84.84650       46.75164       31.98049    
  -84.84358       46.72563       34.03098    
  -84.84681       46.69879       51.87696    
  -84.88195       46.69284       94.79343    
  -84.91579       46.69093       73.86578    
  -84.92383       46.66535       48.94036    
  -84.93354       46.64168       34.50204    
  -84.93335       46.61737       25.14912    
  -84.93861       46.59073       19.45400    
  -84.93794       46.56220       12.70255    
  -84.95177       46.53054       5.061437    
  -84.94217       46.50202       5.017138    
  -84.94057       46.47606       4.254352    
  -84.81161       46.83786       25.71638    
  -84.46207       46.93729       9.269600    
  -84.49935       46.94596       6.897962    
  -84.53622       46.95206       4.203650    
  -84.56853       46.93664       9.510424    
  -84.60369       46.93084       6.577215    
  -84.60790       46.90868       6.564553    
  -84.64460       46.91589       16.36366    
  -84.68293       46.90146       37.60318    
  -84.71417       46.88560       72.33881    
  -84.75029       46.89622       85.07667    
  -84.77432       46.87924       82.41261    
  -84.80661       46.86470       19.42989    
  -84.38811       46.88350       43.72531    
  -84.42886       46.89738       8.568008    
  -84.42499       46.92823       3.515478    
  -84.84185       46.81597       26.24150    
  -84.82816       46.79193       25.24505    
  -84.84942       46.77563       30.44469    
  -84.88106       46.76959       71.42643    
  -84.87683       46.74086       76.15981    
  -84.87316       46.71619       82.00379    
  -84.90598       46.71954       88.01930    
  -84.93948       46.70768       65.14777    
  -84.95588       46.68311       45.17249    
  -84.96168       46.65480       35.51455    
  -84.96658       46.62739       25.39005    
  -84.97071       46.60086       18.69702    
  -84.97421       46.57421       10.17159    
  -84.97521       46.54956       8.707843    
  -85.00140       46.52936       4.791000    
  -84.97634       46.50963       4.917238    
  -84.97764       46.48451       5.436027    
  -84.84430       46.85616       28.13849    
  -84.85620       46.83627       34.73909    
  -84.64223       46.93635       11.09015    
  -84.68103       46.92556       24.84987    
  -84.71871       46.91174       74.77609    
  -84.75430       46.92205       70.16277    
  -84.78866       46.90873       34.21952    
  -84.80695       46.88891       15.38086    
  -84.83918       46.88068       23.95905    
  -84.40279       46.90844       20.18422    
  -84.88645       46.82290       49.48487    
  -84.86633       46.79766       53.37799    
  -84.89906       46.79556       48.40345    
  -84.91620       46.77314       68.89814    
  -84.90784       46.74811       80.68934    
  -84.93746       46.73088       68.46777    
  -84.97341       46.71154       49.93127    
  -84.99151       46.68818       33.03367    
  -84.99383       46.66376       25.84425    
  -84.99852       46.63741       18.09588    
  -85.00272       46.61055       13.36297    
  -85.00807       46.58364       6.256215    
  -85.01034       46.55720       4.792718    
  -85.04436       46.54367       2.209413    
  -85.03547       46.51824       6.760632    
  -85.01008       46.49774       5.733794    
  -84.87556       46.87334       44.50191    
  -84.88646       46.85134       50.82925    
  -84.67529       46.95084       17.77724    
  -84.71558       46.93638       49.55503    
  -84.75059       46.94546       50.98659    
  -84.78693       46.93600       48.47863    
  -84.81940       46.92899       16.99232    
  -84.83182       46.90648       11.56286    
  -84.86749       46.89914       38.33068    
  -84.91850       46.84229       57.73437    
  -84.92168       46.81621       64.26303    
  -84.93550       46.79499       64.72971    
  -84.95219       46.77858       27.78495    
  -84.93884       46.75576       49.96764    
  -84.96561       46.73792       42.51997    
  -85.00124       46.72752       12.41553    
  -85.01884       46.70342       8.225378    
  -85.02647       46.67718       4.109763    
  -85.03141       46.65044       4.971808    
  -85.03381       46.62352       4.120315    
  -85.03896       46.59685       5.531318    
  -85.04678       46.57042       1.636395    
  -84.90407       46.89175       48.53331    
  -84.91672       46.86853       54.85329    
  -84.71085       46.96107       3.948621    
  -84.74963       46.96579       11.29435    
  -84.78039       46.96107       19.78115    
  -84.81511       46.95769       19.90994    
  -84.84407       46.94748       24.69960    
  -84.85770       46.92598       33.46711    
  -84.89111       46.92068       43.17777    
  -84.95079       46.85770       60.19740    
  -84.95193       46.83240       66.74080    
  -84.95742       46.81252       68.34262    
  -84.97968       46.79826       39.14642    
  -84.98457       46.77910       12.90396    
  -84.96762       46.76131       6.744744    
  -84.98566       46.75223       5.942657    
  -84.92453       46.91255       46.02459    
  -84.94946       46.88537       54.17980    
  -84.76930       46.98815       11.83072    
  -84.79865       46.98104       18.46215    
  -84.82836       46.98534       83.72520    
  -84.85501       46.97053       36.02399    
  -84.87803       46.94962       27.30161    
  -84.91237       46.94580       42.75658    
  -84.98623       46.86803       60.23352    
  -84.98112       46.84550       52.45894    
  -84.99294       46.82470       35.44448    
  -85.01402       46.80851       16.63169    
  -85.01933       46.78708       12.74643    
  -84.99934       46.76447       2.772613    
  -84.94217       46.93327       58.38240    
  -84.96180       46.91040       39.57053    
  -84.99178       46.89189       60.80653    
  -84.80487       47.00784       63.86054    
  -84.77485       47.01320       7.950935    
  -84.83768       47.00914       140.2111    
  -84.86479       46.99585       54.42333    
  -84.89373       46.97654       48.22400    
  -84.92678       46.97201       78.35240    
  -84.95133       46.95750       95.40524    
  -85.02497       46.87372       60.92705    
  -85.01600       46.84982       59.26160    
  -85.03384       46.83000       40.33910    
  -85.04900       46.80877       16.09752    
  -85.05935       46.78641       13.93870    
  -85.03858       46.76458       9.968917    
  -84.97521       46.93568       43.91711    
  -84.99968       46.91584       35.23148    
  -85.03099       46.89731       51.53671    
  -84.79979       47.03630       105.1029    
  -84.83303       47.03324       156.3128    
  -84.76575       47.03944       27.44773    
  -84.86641       47.02330       49.47891    
  -84.89803       47.00647       36.46595    
  -84.92984       46.99688       72.46882    
  -84.96078       46.98422       101.5948    
  -84.98743       46.96135       108.9828    
  -85.06403       46.87683       49.73285    
  -85.05439       46.85373       52.00812    
  -85.07269       46.83160       27.56844    
  -85.08706       46.80868       16.27108    
  -85.09808       46.78507       12.85215    
  -85.07770       46.76258       7.467500    
  -85.01281       46.94027       41.60997    
  -85.03887       46.92100       20.51533    
  -85.07056       46.90011       43.02317    
  -84.78843       47.06205       153.6310    
  -84.82555       47.05902       162.6492    
  -84.86354       47.05270       87.68108    
  -84.75051       47.06422       40.14420    
  -84.89791       47.03367       22.68854    
  -84.93231       47.02351       57.93906    
  -84.96727       47.01373       117.5320    
  -84.99500       46.98792       138.6160    
  -85.02451       46.96629       195.4444    
  -85.10352       46.87765       40.66593    
  -85.09360       46.85460       40.53815    
  -85.11182       46.83126       21.10762    
  -85.12594       46.80763       15.88884    
  -85.13697       46.78394       11.07771    
  -85.11683       46.76069       3.619804    
  -85.05149       46.94630       96.72235    
  -85.07825       46.92379       45.93385    
  -85.11042       46.90089       42.27053    
  -84.77374       47.08701       182.0554    
  -84.81215       47.08438       132.2587    
  -84.84988       47.08093       64.32959    
  -84.88475       47.08160       76.88187    
  -84.89738       47.05865       33.65294    
  -84.73460       47.08885       93.75543    
  -84.92957       47.05059       56.36040    
  -84.96400       47.04361       143.9725    
  -84.99812       47.03716       191.8669    
  -85.00266       47.01204       182.0312    
  -85.03142       46.99302       196.2774    
  -85.06461       46.97475       138.2106    
  -85.14291       46.87679       23.20842    
  -85.13366       46.85386       27.43239    
  -85.15136       46.83035       19.17474    
  -85.16509       46.80616       15.68883    
  -85.17625       46.78247       11.33354    
  -85.15607       46.76063       4.759522    
  -85.09023       46.94834       124.4440    
  -85.11803       46.92449       55.93196    
  -85.15060       46.90033       37.80613    
  -84.76095       47.11230       183.9221    
  -84.79872       47.10969       146.2848    
  -84.83681       47.10690       29.76071    
  -84.87309       47.10736       52.36654    
  -84.91086       47.10376       53.22485    
  -84.92204       47.07773       58.46349    
  -84.72408       47.11485       62.46225    
  -84.95857       47.07124       138.1683    
  -84.99463       47.06428       166.5918    
  -85.03147       47.04867       142.1727    
  -85.03331       47.02131       194.7172    
  -85.06571       47.00648       141.0149    
  -85.09203       46.99629       154.9662    
  -85.10443       46.97152       127.1015    
  -85.17849       46.87864       18.91493    
  -85.17754       46.85378       19.36623    
  -85.19044       46.82822       18.45327    
  -85.20432       46.80352       17.17341    
  -85.21523       46.77926       14.29190    
  -85.19507       46.75837       7.180463    
  -85.13080       46.94768       96.77965    
  -85.15816       46.92335       58.91874    
  -85.19504       46.89993       26.16041    
  -84.74998       47.13829       190.5375    
  -84.78689       47.13544       111.3573    
  -84.82426       47.13265       103.2095    
  -84.86048       47.13311       24.24553    
  -84.89861       47.12984       34.21062    
  -84.93761       47.12438       127.5636    
  -84.94930       47.09812       137.3851    
  -84.71358       47.14084       79.55073    
  -84.98703       47.09134       169.3986    
  -85.02635       47.07614       114.1379    
  -85.06416       47.06176       140.2233    
  -85.06789       47.03412       141.2955    
  -85.10635       47.02234       160.3605    
  -85.11964       46.99374       144.6453    
  -85.14317       46.97124       114.3995    
  -85.21436       46.87287       21.33271    
  -85.22039       46.84867       19.90396    
  -85.22986       46.82413       19.36139    
  -85.24329       46.79879       18.85386    
  -85.25379       46.77353       17.22324    
  -85.23385       46.75425       8.389832    
  -85.17100       46.94696       81.49460    
  -85.19440       46.92469       79.51814    
  -85.23067       46.91860       87.76845    
  -85.23867       46.89404       31.76818    
  -84.73862       47.16413       180.2290    
  -84.77543       47.16138       84.76377    
  -84.81246       47.15860       113.5009    
  -84.84832       47.15904       28.63827    
  -84.88627       47.15585       21.08617    
  -84.92567       47.15079       104.8986    
  -84.96451       47.14486       209.6740    
  -84.97661       47.11812       220.0999    
  -84.70308       47.16684       55.44481    
  -85.01816       47.10329       120.8909    
  -85.05801       47.08926       134.2007    
  -85.09534       47.08092       163.6432    
  -85.10089       47.05295       169.0023    
  -85.13952       47.03841       150.5084    
  -85.15117       47.00142       122.1393    
  -85.18195       46.97086       94.35629    
  -85.25391       46.86837       28.62997    
  -85.26023       46.84367       29.44481    
  -85.26878       46.81839       28.44543    
  -85.28156       46.79184       20.99496    
  -85.29124       46.76535       17.95908    
  -85.27119       46.74611       9.678729    
  -85.21180       46.94477       104.9869    
  -85.25278       46.94037       157.2386    
  -85.27059       46.91443       158.3771    
  -85.27886       46.88885       52.68799    
  -84.72397       47.18940       170.4339    
  -84.76208       47.18694       69.12635    
  -84.79972       47.18438       79.66256    
  -84.83568       47.18493       57.03345    
  -84.87373       47.18184       30.10551    
  -84.91328       47.17671       82.78616    
  -84.95323       47.17426       212.9386    
  -84.99553       47.15630       129.1702    
  -85.00758       47.13003       118.7916    
  -84.68529       47.19085       71.98880    
  -85.04919       47.11645       133.5584    
  -85.08771       47.10852       150.5740    
  -85.12646       47.09765       199.6309    
  -85.13362       47.06933       192.8040    
  -85.17322       47.05945       98.46904    
  -85.17478       47.02396       98.64215    
  -85.19533       46.99395       97.50280    
  -85.22322       46.96762       110.2697    
  -85.29368       46.86204       41.28488    
  -85.29950       46.83701       46.56949    
  -85.30693       46.81058       43.22581    
  -85.31898       46.78281       28.16650    
  -85.32790       46.75521       19.01452    
  -85.30785       46.73663       10.05900    
  -85.26340       46.96329       182.4667    
  -85.29716       46.93635       168.2641    
  -85.30994       46.90834       93.00993    
  -85.31773       46.88178       57.24366    
  -84.70576       47.21333       164.1615    
  -84.74558       47.21163       47.08713    
  -84.78459       47.20956       56.82483    
  -84.82119       47.21037       98.24931    
  -84.85989       47.20760       34.49841    
  -84.89951       47.20266       47.66785    
  -84.93639       47.20222       192.5578    
  -84.97254       47.20366       153.8669    
  -84.98879       47.18068       135.0356    
  -85.02699       47.16980       136.8156    
