Node Number =  35749
  -84.57471       46.89564       46.89564    
  -84.60892       46.88772       46.88772    
  -84.64607       46.89366       46.89366    
  -84.67756       46.87593       46.87593    
  -84.70380       46.85820       46.85820    
  -84.73929       46.86749       46.86749    
  -84.77197       46.85252       46.85252    
  -84.42300       46.87072       46.87072    
  -84.45755       46.88577       46.88577    
  -84.46114       46.91159       46.91159    
  -84.39380       46.85681       46.85681    
  -84.80353       46.81093       46.81093    
  -84.79752       46.78461       46.78461    
  -84.81676       46.76524       46.76524    
  -84.84650       46.75164       46.75164    
  -84.84358       46.72563       46.72563    
  -84.84681       46.69879       46.69879    
  -84.88195       46.69284       46.69284    
  -84.91579       46.69093       46.69093    
  -84.92383       46.66535       46.66535    
  -84.93354       46.64168       46.64168    
  -84.93335       46.61737       46.61737    
  -84.93861       46.59073       46.59073    
  -84.93794       46.56220       46.56220    
  -84.95177       46.53054       46.53054    
  -84.94217       46.50202       46.50202    
  -84.94057       46.47606       46.47606    
  -84.81161       46.83786       46.83786    
  -84.46207       46.93729       46.93729    
  -84.49935       46.94596       46.94596    
  -84.53622       46.95206       46.95206    
  -84.56853       46.93664       46.93664    
  -84.60369       46.93084       46.93084    
  -84.60790       46.90868       46.90868    
  -84.64460       46.91589       46.91589    
  -84.68293       46.90146       46.90146    
  -84.71417       46.88560       46.88560    
  -84.75029       46.89622       46.89622    
  -84.77432       46.87924       46.87924    
  -84.80661       46.86470       46.86470    
  -84.38811       46.88350       46.88350    
  -84.42886       46.89738       46.89738    
  -84.42499       46.92823       46.92823    
  -84.84185       46.81597       46.81597    
  -84.82816       46.79193       46.79193    
  -84.84942       46.77563       46.77563    
  -84.88106       46.76959       46.76959    
  -84.87683       46.74086       46.74086    
  -84.87316       46.71619       46.71619    
  -84.90598       46.71954       46.71954    
  -84.93948       46.70768       46.70768    
  -84.95588       46.68311       46.68311    
  -84.96168       46.65480       46.65480    
  -84.96658       46.62739       46.62739    
  -84.97071       46.60086       46.60086    
  -84.97421       46.57421       46.57421    
  -84.97521       46.54956       46.54956    
  -85.00140       46.52936       46.52936    
  -84.97634       46.50963       46.50963    
  -84.97764       46.48451       46.48451    
  -84.84430       46.85616       46.85616    
  -84.85620       46.83627       46.83627    
  -84.64223       46.93635       46.93635    
  -84.68103       46.92556       46.92556    
  -84.71871       46.91174       46.91174    
  -84.75430       46.92205       46.92205    
  -84.78866       46.90873       46.90873    
  -84.80695       46.88891       46.88891    
  -84.83918       46.88068       46.88068    
  -84.40279       46.90844       46.90844    
  -84.88645       46.82290       46.82290    
  -84.86633       46.79766       46.79766    
  -84.89906       46.79556       46.79556    
  -84.91620       46.77314       46.77314    
  -84.90784       46.74811       46.74811    
  -84.93746       46.73088       46.73088    
  -84.97341       46.71154       46.71154    
  -84.99151       46.68818       46.68818    
  -84.99383       46.66376       46.66376    
  -84.99852       46.63741       46.63741    
  -85.00272       46.61055       46.61055    
  -85.00807       46.58364       46.58364    
  -85.01034       46.55720       46.55720    
  -85.04436       46.54367       46.54367    
  -85.03547       46.51824       46.51824    
  -85.01008       46.49774       46.49774    
  -84.87556       46.87334       46.87334    
  -84.88646       46.85134       46.85134    
  -84.67529       46.95084       46.95084    
  -84.71558       46.93638       46.93638    
  -84.75059       46.94546       46.94546    
  -84.78693       46.93600       46.93600    
  -84.81940       46.92899       46.92899    
  -84.83182       46.90648       46.90648    
  -84.86749       46.89914       46.89914    
  -84.91850       46.84229       46.84229    
  -84.92168       46.81621       46.81621    
  -84.93550       46.79499       46.79499    
  -84.95219       46.77858       46.77858    
  -84.93884       46.75576       46.75576    
  -84.96561       46.73792       46.73792    
  -85.00124       46.72752       46.72752    
  -85.01884       46.70342       46.70342    
  -85.02647       46.67718       46.67718    
  -85.03141       46.65044       46.65044    
  -85.03381       46.62352       46.62352    
  -85.03896       46.59685       46.59685    
  -85.04678       46.57042       46.57042    
  -84.90407       46.89175       46.89175    
  -84.91672       46.86853       46.86853    
  -84.71085       46.96107       46.96107    
  -84.74963       46.96579       46.96579    
  -84.78039       46.96107       46.96107    
  -84.81511       46.95769       46.95769    
  -84.84407       46.94748       46.94748    
  -84.85770       46.92598       46.92598    
  -84.89111       46.92068       46.92068    
  -84.95079       46.85770       46.85770    
  -84.95193       46.83240       46.83240    
  -84.95742       46.81252       46.81252    
  -84.97968       46.79826       46.79826    
  -84.98457       46.77910       46.77910    
  -84.96762       46.76131       46.76131    
  -84.98566       46.75223       46.75223    
  -84.92453       46.91255       46.91255    
  -84.94946       46.88537       46.88537    
  -84.76930       46.98815       46.98815    
  -84.79865       46.98104       46.98104    
  -84.82836       46.98534       46.98534    
  -84.85501       46.97053       46.97053    
  -84.87803       46.94962       46.94962    
  -84.91237       46.94580       46.94580    
  -84.98623       46.86803       46.86803    
  -84.98112       46.84550       46.84550    
  -84.99294       46.82470       46.82470    
  -85.01402       46.80851       46.80851    
  -85.01933       46.78708       46.78708    
  -84.99934       46.76447       46.76447    
  -84.94217       46.93327       46.93327    
  -84.96180       46.91040       46.91040    
  -84.99178       46.89189       46.89189    
  -84.80487       47.00784       47.00784    
  -84.77485       47.01320       47.01320    
  -84.83768       47.00914       47.00914    
  -84.86479       46.99585       46.99585    
  -84.89373       46.97654       46.97654    
  -84.92678       46.97201       46.97201    
  -84.95133       46.95750       46.95750    
  -85.02497       46.87372       46.87372    
  -85.01600       46.84982       46.84982    
  -85.03384       46.83000       46.83000    
  -85.04900       46.80877       46.80877    
  -85.05935       46.78641       46.78641    
  -85.03858       46.76458       46.76458    
  -84.97521       46.93568       46.93568    
  -84.99968       46.91584       46.91584    
  -85.03099       46.89731       46.89731    
  -84.79979       47.03630       47.03630    
  -84.83303       47.03324       47.03324    
  -84.76575       47.03944       47.03944    
  -84.86641       47.02330       47.02330    
  -84.89803       47.00647       47.00647    
  -84.92984       46.99688       46.99688    
  -84.96078       46.98422       46.98422    
  -84.98743       46.96135       46.96135    
  -85.06403       46.87683       46.87683    
  -85.05439       46.85373       46.85373    
  -85.07269       46.83160       46.83160    
  -85.08706       46.80868       46.80868    
  -85.09808       46.78507       46.78507    
  -85.07770       46.76258       46.76258    
  -85.01281       46.94027       46.94027    
  -85.03887       46.92100       46.92100    
  -85.07056       46.90011       46.90011    
  -84.78843       47.06205       47.06205    
  -84.82555       47.05902       47.05902    
  -84.86354       47.05270       47.05270    
  -84.75051       47.06422       47.06422    
  -84.89791       47.03367       47.03367    
  -84.93231       47.02351       47.02351    
  -84.96727       47.01373       47.01373    
  -84.99500       46.98792       46.98792    
  -85.02451       46.96629       46.96629    
  -85.10352       46.87765       46.87765    
  -85.09360       46.85460       46.85460    
  -85.11182       46.83126       46.83126    
  -85.12594       46.80763       46.80763    
  -85.13697       46.78394       46.78394    
  -85.11683       46.76069       46.76069    
  -85.05149       46.94630       46.94630    
  -85.07825       46.92379       46.92379    
  -85.11042       46.90089       46.90089    
  -84.77374       47.08701       47.08701    
  -84.81215       47.08438       47.08438    
  -84.84988       47.08093       47.08093    
  -84.88475       47.08160       47.08160    
  -84.89738       47.05865       47.05865    
  -84.73460       47.08885       47.08885    
  -84.92957       47.05059       47.05059    
  -84.96400       47.04361       47.04361    
  -84.99812       47.03716       47.03716    
  -85.00266       47.01204       47.01204    
  -85.03142       46.99302       46.99302    
  -85.06461       46.97475       46.97475    
  -85.14291       46.87679       46.87679    
  -85.13366       46.85386       46.85386    
  -85.15136       46.83035       46.83035    
  -85.16509       46.80616       46.80616    
  -85.17625       46.78247       46.78247    
  -85.15607       46.76063       46.76063    
  -85.09023       46.94834       46.94834    
  -85.11803       46.92449       46.92449    
  -85.15060       46.90033       46.90033    
  -84.76095       47.11230       47.11230    
  -84.79872       47.10969       47.10969    
  -84.83681       47.10690       47.10690    
  -84.87309       47.10736       47.10736    
  -84.91086       47.10376       47.10376    
  -84.92204       47.07773       47.07773    
  -84.72408       47.11485       47.11485    
  -84.95857       47.07124       47.07124    
  -84.99463       47.06428       47.06428    
  -85.03147       47.04867       47.04867    
  -85.03331       47.02131       47.02131    
  -85.06571       47.00648       47.00648    
  -85.09203       46.99629       46.99629    
  -85.10443       46.97152       46.97152    
  -85.17849       46.87864       46.87864    
  -85.17754       46.85378       46.85378    
  -85.19044       46.82822       46.82822    
  -85.20432       46.80352       46.80352    
  -85.21523       46.77926       46.77926    
  -85.19507       46.75837       46.75837    
  -85.13080       46.94768       46.94768    
  -85.15816       46.92335       46.92335    
  -85.19504       46.89993       46.89993    
  -84.74998       47.13829       47.13829    
  -84.78689       47.13544       47.13544    
  -84.82426       47.13265       47.13265    
  -84.86048       47.13311       47.13311    
  -84.89861       47.12984       47.12984    
  -84.93761       47.12438       47.12438    
  -84.94930       47.09812       47.09812    
  -84.71358       47.14084       47.14084    
  -84.98703       47.09134       47.09134    
  -85.02635       47.07614       47.07614    
  -85.06416       47.06176       47.06176    
  -85.06789       47.03412       47.03412    
  -85.10635       47.02234       47.02234    
  -85.11964       46.99374       46.99374    
  -85.14317       46.97124       46.97124    
  -85.21436       46.87287       46.87287    
  -85.22039       46.84867       46.84867    
  -85.22986       46.82413       46.82413    
  -85.24329       46.79879       46.79879    
  -85.25379       46.77353       46.77353    
  -85.23385       46.75425       46.75425    
  -85.17100       46.94696       46.94696    
  -85.19440       46.92469       46.92469    
  -85.23067       46.91860       46.91860    
  -85.23867       46.89404       46.89404    
  -84.73862       47.16413       47.16413    
  -84.77543       47.16138       47.16138    
  -84.81246       47.15860       47.15860    
  -84.84832       47.15904       47.15904    
  -84.88627       47.15585       47.15585    
  -84.92567       47.15079       47.15079    
  -84.96451       47.14486       47.14486    
  -84.97661       47.11812       47.11812    
  -84.70308       47.16684       47.16684    
  -85.01816       47.10329       47.10329    
  -85.05801       47.08926       47.08926    
  -85.09534       47.08092       47.08092    
  -85.10089       47.05295       47.05295    
  -85.13952       47.03841       47.03841    
  -85.15117       47.00142       47.00142    
  -85.18195       46.97086       46.97086    
  -85.25391       46.86837       46.86837    
  -85.26023       46.84367       46.84367    
  -85.26878       46.81839       46.81839    
  -85.28156       46.79184       46.79184    
  -85.29124       46.76535       46.76535    
  -85.27119       46.74611       46.74611    
  -85.21180       46.94477       46.94477    
  -85.25278       46.94037       46.94037    
  -85.27059       46.91443       46.91443    
  -85.27886       46.88885       46.88885    
  -84.72397       47.18940       47.18940    
  -84.76208       47.18694       47.18694    
  -84.79972       47.18438       47.18438    
  -84.83568       47.18493       47.18493    
  -84.87373       47.18184       47.18184    
  -84.91328       47.17671       47.17671    
  -84.95323       47.17426       47.17426    
  -84.99553       47.15630       47.15630    
  -85.00758       47.13003       47.13003    
  -84.68529       47.19085       47.19085    
